Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site
Clash,"Drama, Thriller, War","Middle-Eastern Films,African Films,Thrillers,Dramas,Political Thrillers,Independent Thrillers,Independent Dramas,International Dramas,Military Dramas,International Thrillers,International Films,Political Dramas,Independent Films,Egyptian Movies","Arabic, English",Movie,6.6,Israel,1-2 hour,Mohamed Diab,"Khaled Diab, Mohamed Diab","Mohamed ElSouisy, El Sebaii Mohamed, Hani Adel, Nelly Karim",Not Rated,7.5,93.0,78.0,11.0,8.0,18215.0,2016-07-27,2017-12-27,"NiKo Film, arte France Cinéma",https://www.netflix.com/watch/80147323,https://www.imdb.com/title/tt5599692,"Amid the tumult following Egyptian President Morsis ouster, demonstrators from divergent backgrounds are brought together inside a police truck.",5038.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWCciYLVnxq1I5YRwLzHxOkzHm43VW69gR_u4EgrceDZqSo1BnHKijwajE82QhDoQnGK_lEvAS893TCNBe1Jx96OMw.jpg?r=43a,https://images-na.ssl-images-amazon.com/images/M/MV5BYzE2ZWVjNWQtYWU0My00ODlmLWE2YWMtNTZmY2MzNTFhNWMxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=FWHAsFpfDnM,YouTube
CHIPS,"Action, Comedy, Crime","Action Comedies,Late Night Comedies,Action & Adventure,Crime Comedies,Police Detective Movies,Crime Films,Crime Action & Adventure,Comedies,Police Action & Adventure,Police Movies,US Movies","English, Spanish",Movie,1.8,"Brazil,Argentina,Mexico,Colombia,South Korea",1-2 hour,Dax Shepard,"Dax Shepard, Rick Rosner","Vincent D'Onofrio, Rosa Salazar, Dax Shepard, Michael Peña",R,6.0,18.0,28.0,2.0,1.0,18600152.0,2017-03-24,2017-12-26,"RatPac-Dune Entertainment, Panay Films, Primate Pictures",https://www.netflix.com/watch/80163158,https://www.imdb.com/title/tt0493405,An undercover FBI agent teams up with a former motocross champ to bring down a corrupt group of California Highway Patrol motorcycle cops.,42597.0,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQoq8_We69fSoK5VuUHG2p8yM8f5WNB_J6H3OSx3r6fl1d69dSb_digtRYJuxtzItWepCLxvHQhx4F9HEzhdCBHDGQ.jpg?r=95a,https://images-na.ssl-images-amazon.com/images/M/MV5BZTliN2IyMTctYTliOS00ZTJiLTkxN2YtNDg1YTJiZTA4MTVlL2ltYWdlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=nmgeiznfdLI,YouTube
Live Flesh,Drama,"Thrillers based on a book,Spanish Thrillers,Steamy Romantic Films,Award-winning Films,Goya Award-winning Movies,Thrillers,Psychological Thrillers,Romantic Films,Spanish Films,Crime Thrillers,Crime Movies,Movies Based on Books","Spanish, Italian, Bulgarian",Movie,3.7,Spain,1-2 hour,Pedro Almodóvar,"Ray Loriga, Jorge Guerricaechevarría, Pedro Almodóvar, Ruth Rendell","Javier Bardem, Francesca Neri, Liberto Rabal, Ángela Molina",R,7.4,81.0,69.0,11.0,14.0,1785901.0,1998-01-16,2017-12-15,"Goldwyn Films, El Deseo S.A.",https://www.netflix.com/watch/60000667,https://www.imdb.com/title/tt0118819,"While visiting drug addict Elena, troubled teen Victor shoots a cop and goes to prison. A year later, he learns Elena married the man he shot.",28561.0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbNOZAK-Gc9p4g4i_nAzphuZiMimLv94CQbIl3uYcEsURcgJB5UB1uBp-X5btES9zeb9xSgS9V-zMOV8vyStRVGNxw.jpg?r=da5,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2ODEzMjE1NF5BMl5BanBnXkFtZTYwNzY4MzA5._V1_SX300.jpg,https://www.youtube.com/watch?v=FpfDTg4lbNE,YouTube
The Flower of My Secret,Drama,"Dramas,Spanish Dramas,Romantic Films,Romantic Dramas,Spanish Films,Romantic Favorites","Spanish, French",Movie,3.8,Spain,1-2 hour,Pedro Almodóvar,Pedro Almodóvar,"Marisa Paredes, Carme Elias, Juan Echanove, Rossy de Palma",R,7.0,83.0,75.0,5.0,13.0,1104622.0,1996-03-08,2017-12-15,El Deseo S.A.,https://www.netflix.com/watch/60000657,https://www.imdb.com/title/tt0113083,"Fed up with writing meaningless books and on the verge of splitting with her husband, a romance novelist takes a job at a newspaper under a pseudonym.",10443.0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQqlTdG1yvftGDc4tGKANgWPkx6SXjhFFAlDrq4YLaw6ORqFlLjXwRREjL75ALgtt90Twsoc8fuzSh14xAcYZMDxVg.jpg?r=e7f,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMTM1OTQ3MV5BMl5BanBnXkFtZTcwNjQ1MzgyMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=BBzIoP9EgEU,YouTube
Bad Education,"Crime, Drama","LGBTQ Dramas,Independent Thrillers,Spanish Thrillers,Independent Dramas,20th Century Period Pieces,Spanish Films,Thrillers,Spanish Dramas,Dramas,Independent Films,LGBTQ Movies","Spanish, Latin",Movie,4.1,Spain,1-2 hour,Pedro Almodóvar,Pedro Almodóvar,"Lluís Homar, Gael García Bernal, Fele Martínez, Daniel Giménez Cacho",NC-17,7.4,88.0,81.0,16.0,42.0,5284284.0,2005-02-11,2017-12-15,"Canal+ España, El Deseo S.A., Televisión Española (TVE)",https://www.netflix.com/watch/70011205,https://www.imdb.com/title/tt0275491,"A film director reunites with his childhood friend, who shares a short story hes written about being molested by their Catholic school teacher.",55919.0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWc89BqwLzSEwn8SQ4xu8EdWGZ9qMNsVyCHkE3uTOl8FS-URaUDcAPGLHEcZ4GQ-eb86-84jVYLNiGTT7w95OAM51A.jpg?r=14c,https://images-na.ssl-images-amazon.com/images/M/MV5BMmFjNWU1YjMtOWVhZC00OGI4LTgwN2UtNDQ1ODMxZGZmZTFmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,https://www.youtube.com/watch?v=a_y11BREqlU,YouTube
Menashe,Drama,"Independent Dramas,Independent Films,Dramas","Yiddish, English, Spanish",Movie,8.0,"Argentina,United States,Brazil,Mexico,Colombia",1-2 hour,Joshua Z Weinstein,"Joshua Z Weinstein, Alex Lipschultz, Musa Syeed","Jorge Cea, Abraham Bresky, Josh Alpert, Menashe Lustig",PG,6.5,96.0,81.0,9.0,18.0,1703036.0,2017-07-28,2017-12-15,Shtick Film,https://www.netflix.com/watch/80174138,https://www.imdb.com/title/tt6333086,"A year after his wifes death, a widower faces pressure from his Hasidic community to give up his son for adoption unless he finds a new partner.",1988.0,https://occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVfTKRoleJXKLhuo4EMzpnDacWBE_PoNqyr2ZMydbSPHSyEgvzTfAqBf5mydJO6r8CR9ofEIXY_v5xjrH6VO0TCeoA.jpg?r=df0,https://images-na.ssl-images-amazon.com/images/M/MV5BZjQxYTc1MGEtNzhhOS00YWJmLWJlOWUtZWJlZjA5Yzk4NDA0XkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_SX300.jpg,https://www.youtube.com/watch?v=83UoZcdX__Y,YouTube
Love Me If You Dare,"Comedy, Drama, Romance","French Films,Comedies,French Dramas,Romantic Dramas,Romantic Comedies,Romantic French Films,French Comedies,Dramas,Romantic Films",French,Movie,2.7,"France,Belgium",1-2 hour,Yann Samuell,Yann Samuell,"Marion Cotillard, Thibault Verhaeghe, Joséphine Lebas-Joly, Guillaume Canet",R,7.6,44.0,45.0,5.0,2.0,553504.0,2004-05-28,2017-12-15,Canal+,https://www.netflix.com/watch/60037334,https://www.imdb.com/title/tt0364517,"Two friends grow up attempting to outdo the other with a chain of extreme pranks. When their relationship escalates to romance, the game turns harsh.",67508.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXuQRJi_G4ra85V_U_GiHFaYM1y61Qp8Z3xEq2gn30GeJMznA0EJnXxz591Xc1j4GV8gLwBwhNBnqQ3KLWbkTXqang.jpg?r=ed3,https://images-na.ssl-images-amazon.com/images/M/MV5BNjIwOGJhY2QtMTA5Yi00MDhlLWE5OTgtYmIzZDNlM2UwZjMyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,https://www.youtube.com/watch?v=5buvvd5z7Gw,YouTube
Fist Fight,Comedy,"Comedies,US Movies",English,Movie,1.9,"Switzerland,Brazil,Italy,Argentina,Mexico,Colombia,South Korea",1-2 hour,Richie Keen,"Van Robichaux, Max Greenfield, Evan Susser","Ice Cube, Tracy Morgan, Jillian Bell, Charlie Day",R,5.6,24.0,37.0,1.0,1.0,32187017.0,2017-02-17,2017-12-12,"Village Roadshow Pictures, New Line Cinema, Wrigley Pictures, 21 Laps Entertainment",https://www.netflix.com/watch/80133356,https://www.imdb.com/title/tt3401882,"When a passive high school English teacher inadvertently enrages his irritable colleague, the two square off for an old-fashioned brawl.",39746.0,https://occ-0-1168-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfZBwy1wQIBcIp1QSy2CAWcTBnZS5zkY9ON1JaeEo_cvESXD-axKeVpNqZHPQYfTtUM8xsyJjtU--r6F6JvBhPZ5Jg.jpg?r=7cc,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NzkyMjE5NF5BMl5BanBnXkFtZTgwMDE5NTg3MDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=9aIzXYo6VCE,YouTube
By the Sea,"Drama, Romance","Steamy Romance,Dramas,Romantic Films,Romantic Dramas","English, French, Ukrainian",Movie,2.2,"United Kingdom,United States",> 2 hrs,Angelina Jolie,Angelina Jolie,"Brad Pitt, Melvil Poupaud, Mélanie Laurent, Angelina Jolie",R,5.3,34.0,44.0,1.0,2.0,538460.0,2015-12-09,2017-12-07,"Jolie Pas, Universal Pictures",https://www.netflix.com/watch/80057298,https://www.imdb.com/title/tt3707106,"Troubled by the state of their marriage, Vanessa and Roland visit a French seaside town, where they have a fateful encounter with a pair of newlyweds.",18777.0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABft2VipyKJl07hC19PxA1jTbYtQnnMH7XFLGLbCIy3CScX56Ma29xScJZdRumvajWftNmz9pi6UfSx38ymTLrRb00A.jpg?r=318,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNDU2MDMxM15BMl5BanBnXkFtZTgwMzAzMTk1NjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=LRXPszwv4Uc,YouTube
Your Name,"Animation, Drama, Fantasy, Romance","Japanese Films,Anime Feature Films,Anime Dramas,Sci-Fi & Fantasy,Anime,Anime Fantasies,Teen Films,Sci-Fi & Fantasy Anime,Romantic Favourites,Romance Anime,Romantic Films,Tearjerkers,School Anime",Japanese,Movie,4.4,"Switzerland,Mexico,South Korea,United Kingdom,France,Brazil,Germany,Italy,Australia,Argentina,Colombia",1-2 hour,Makoto Shinkai,"Makoto Shinkai, Clark Cheng","Ryô Narita, Ryûnosuke Kamiki, Mone Kamishiraishi, Aoi Yûki",PG,8.4,98.0,79.0,16.0,25.0,5017246.0,2017-04-07,2017-12-06,Toho Company Ltd.,https://www.netflix.com/watch/80161371,https://www.imdb.com/title/tt5311514,A bored girl in the countryside starts sporadically waking up in the body of a city boy whos living the exciting life shed always dreamed of.,197791.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT42c5mc1HyftYcBeRBvNDDA0fgD6LtcXrTm8f-ZIc3zkSKtDBm53vsX9MiOxTgNpaWCiqd6g4TIiK-wIqto80mPDA.jpg?r=884,https://images-na.ssl-images-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_SX300.jpg,https://www.youtube.com/watch?v=xU47nhruN-Q,YouTube
American Graffiti,"Comedy, Drama","Critically-acclaimed Dramas,Dramas,Comedies,Classic Films,Critically-acclaimed Comedies,20th Century Period Pieces,Critically-acclaimed Films,Golden Globe Award-winning Films,Classic Comedies,Classic Dramas,US Movies",English,Movie,4.5,United Kingdom,1-2 hour,George Lucas,"Willard Huyck, George Lucas, Gloria Katz","Paul Le Mat, Charles Martin Smith, Ron Howard, Richard Dreyfuss",PG,7.4,96.0,97.0,9.0,13.0,115000000.0,1973-08-11,2017-12-01,"Universal Pictures, Coppola Company, Lucasfilm Ltd.",https://www.netflix.com/watch/70019013,https://www.imdb.com/title/tt0069704,"On the night before two of them leave for college, four high school pals cruise around town finding love and mischief in this coming-of-age classic.",82037.0,https://occ-0-531-2705.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQR4WvgSSN-V9VNIi8vfc-8J4HO_EpaMzv6I-0NjvodQlXoZ3imMKjRIj6zv1T008ZyJLoBpuY0V2eEWKFR50LB5Kw.jpg?r=3f1,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5NjM5MjIyNF5BMl5BanBnXkFtZTgwNjg2MTUxMDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=OZ9Gp6Qc8LQ,YouTube
High Heels,"Comedy, Drama, Romance","Crime Dramas,Classic Dramas,Classic Films,Mysteries,Spanish Films,Spanish Dramas,Award-winning Films,Dramas,Crime Movies",Spanish,Movie,2.9,Spain,1-2 hour,Pedro Almodóvar,Pedro Almodóvar,"Victoria Abril, Marisa Paredes, Anna Lizaran, Miguel Bosé",R,7.1,53.0,51.0,11.0,9.0,1710057.0,1991-12-20,2017-11-29,"El Deseo S.A., Canal+",https://www.netflix.com/watch/80192820,https://www.imdb.com/title/tt0103030,"Murder complicates the relationship between a famous singer and her estranged daughter, whos now married to someone from her mothers past.",14038.0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABS3vgf2_w5qUIa4pWVRzAevGJPV7jqcyhcrs_fUW9N0qNuwr0TKR8Mzbdmp6YyoR_v6enNv8QnIVStIhiuhEenZS7A.jpg?r=119,https://images-na.ssl-images-amazon.com/images/M/MV5BZGQ3NzFkZGEtYzNmNS00MjYzLWI2NjUtNzBmOTVkMGUxMjdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,https://www.youtube.com/watch?v=wxPxKefg0LE,YouTube
Wakefield,Drama,"Dramas based on a book,Dramas,Movies Based on Books",English,Movie,3.3,"Czech Republic,Slovakia,Hungary,Romania",1-2 hour,Robin Swicord,"Robin Swicord, E.L. Doctorow","Victoria Bruno, Jennifer Garner, Ellery Sprayberry, Bryan Cranston",R,6.3,72.0,62.0,1.0,1.0,262599.0,2017-05-19,2017-11-28,"Mockingbird Pictures, Dominion Pictures Corporation",https://www.netflix.com/watch/80156212,https://www.imdb.com/title/tt5195412,"An unhappy father and lawyer quits his suburban life and vanishes into the attic above his garage, where he watches his family move on without him.",15464.0,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR8FUaMUeIuFRwJbu7d95mSFIW1CRilF9uHG7eMQby-GTodseAbiPGHfoaX0oUm6R-3DtaSdU_YH8SoyX1pBLql87Q.jpg?r=f87,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3ODY5MzE4Nl5BMl5BanBnXkFtZTgwNjcxNTgxMjI@._V1_SX300.jpg,https://www.youtube.com/watch?v=E00DODio0Wk,YouTube
The Boss Baby,"Animation, Adventure, Comedy, Family, Fantasy","Children & Family Films,Comedies,Films based on childrens books,Films for ages 8 to 10,Family Features,Family Comedies,Family Feature Animation,Family Adventures,Films for ages 5 to 7,Movies Based on Books,Animation,US Movies","English, Spanish",Movie,2.8,"Belgium,Netherlands,South Korea",1-2 hour,Tom McGrath,"Marla Frazee, Michael McCullers","Lisa Kudrow, Steve Buscemi, Alec Baldwin, Jimmy Kimmel",PG,6.3,53.0,50.0,4.0,21.0,175003033.0,2017-03-31,2017-11-28,DreamWorks Animation,https://www.netflix.com/watch/80146758,https://www.imdb.com/title/tt3874544,A kid finds himself at the center of a sinister corporate plot when his parents bring home a baby who only talks business when theyre not around.,109139.0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTm6IT01W6wUhZpichUA2V5eAbHiai79wi6JW9srZEC777buC2yrtZeQLHVUjzNUbDRDYbnsb84c6_EqK0hOVyHqGg.jpg?r=3ad,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MzUxNzgxNV5BMl5BanBnXkFtZTgwMTM2NzQ3MjI@._V1_SX300.jpg,https://www.youtube.com/watch?v=Ud8j5GaqH3c,YouTube
Collateral Beauty,"Drama, Romance",Dramas,English,Movie,1.7,"France,Belgium,Switzerland,Brazil,South Korea,Argentina,Greece,Mexico,Colombia",1-2 hour,David Frankel,Allan Loeb,"Edward Norton, Kate Winslet, Will Smith, Michael Peña",PG-13,6.8,14.0,23.0,1.0,6.0,31016021.0,2016-12-16,2017-11-18,"Likely Story, Anonymous Content, PalmStar Media, Overbrook Entertainment",https://www.netflix.com/watch/80116204,https://www.imdb.com/title/tt4682786,An advertising executive wrestling with grief finds meaning by writing letters to unconventional recipients as caring colleagues plot a ruse.,91920.0,https://occ-0-753-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVxfDKNO5t5BFZqRhM3-ZHh4zyZJ_d7lw4hpfmrI1oTL0piADPL4m7dpcom89PRzQ-v99IB90Dwtg03VpRpfcoS6cQ.jpg?r=445,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5ODE4MTY2NV5BMl5BanBnXkFtZTgwMzM2NzEzMDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=dpFyds_pS2E,YouTube
Billy Elliot,"Drama, Music","Tearjerkers,Independent Films,Independent Dramas,Dramas,British Films,20th-Century Period Pieces",English,Movie,3.9,"Canada,Italy,Switzerland",1-2 hour,Stephen Daldry,Lee Hall,"Jamie Bell, Jean Heywood, Jamie Draven, Gary Lewis",R,7.7,85.0,74.0,56.0,73.0,21995263.0,2000-11-10,2017-11-17,"Studio Canal, Working Films, BBC, Tiger Aspect Pictures, Arts Council of England, WT²",https://www.netflix.com/watch/60003378,https://www.imdb.com/title/tt0249462,"When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",127066.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABabFbm_yckRdFbBhN8Pz2DZqEzq64CFeuKl3-2B0ATO7ZpS1l8H9sG_ezLamWo1aHd3su-q4uVFtSDenmdtc3iyEmg.jpg?r=a0b,https://images-na.ssl-images-amazon.com/images/M/MV5BNGY3NWYwNzctNWU5Yi00ZjljLTgyNDgtZjNhZjRlNjc0ZTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=Im7n8HGOQMs,YouTube
Midnight Run,"Action, Comedy, Crime, Thriller","Cult Comedies,Action Thrillers,Action & Adventure,Gangster Films,Comedies,Crime Action & Adventure,Action Comedies,Crime Comedies,Crime Movies,Cult Movies",English,Movie,4.1,Brazil,> 2 hrs,Martin Brest,George Gallo,"Charles Grodin, Yaphet Kotto, Robert De Niro, John Ashton",R,7.5,94.0,78.0,2.0,4.0,38413606.0,1988-07-20,2017-11-17,"Universal Pictures, City Light Films",https://www.netflix.com/watch/60029813,https://www.imdb.com/title/tt0095631,"An ex-cop turned bounty hunter is offered $100,000 to transport an accountant who embezzled millions from the mob from New York to Los Angeles.",76038.0,http://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcYs4ZuXuckfMmaCn7GamkEnUtKFZwGd2vqLdXbVK_OljzcPPexLvkcJjiq2TbgmhFultaeLw1V3NmsQkgGp-cuHhg.jpg?r=72f,https://images-na.ssl-images-amazon.com/images/M/MV5BZGIwM2JhNmQtYzQ5ZC00NzdkLTgwZjItMDRiN2QxM2ViMzk0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,https://www.youtube.com/watch?v=B1_N28DA3gY,YouTube
Free Fire,"Action, Comedy, Crime, Thriller","Comedies,Independent Action & Adventure,Independent Films,British Films,Action Comedies,Independent Comedies,Crime Action & Adventure,Action & Adventure,20th Century Period Pieces,Dark Comedies",English,Movie,3.3,"United States,Mexico,Argentina,Brazil,Colombia",1-2 hour,Ben Wheatley,"Amy Jump, Ben Wheatley","Michael Smiley, Enzo Cilenti, Brie Larson, Sam Riley",R,6.4,69.0,63.0,3.0,8.0,1799312.0,2017-04-21,2017-11-12,Rook Films,https://www.netflix.com/watch/80091310,https://www.imdb.com/title/tt4158096,A sketchy arms transaction in a deserted warehouse turns into a free-for-all when the two sides engage in a take-no-prisoners shootout.,42332.0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRSKyrf5HMpT9-dRizm6pWa3gXPg1X5Hirl1OrTsNdjmjULJDKwOc8Ic_5xE108NKu4jnsGluHi9F74HacNGj85HuQ.jpg?r=91e,https://images-na.ssl-images-amazon.com/images/M/MV5BOWZjMDVhMDgtMTljZC00NmM0LWE1ODYtNGZmMGRhZTc3MTg2XkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_SX300.jpg,https://www.youtube.com/watch?v=oDD3I0uOlqY,YouTube
Megan Leavey,"Biography, Drama, War","Dramas based on real life,Dramas,Biographical Dramas,Military Dramas,Movies Based on Real Life","English, Arabic",Movie,3.7,Italy,1-2 hour,Gabriela Cowperthwaite,"Annie Mumolo, Pamela Gray, Tim Lovestedt","Edie Falco, Nick Madrick, Alisa Harris, Kate Mara",PG-13,7.1,85.0,66.0,1.0,1.0,13406883.0,2017-06-09,2017-11-11,Liddell Entertainment,https://www.netflix.com/watch/80170259,https://www.imdb.com/title/tt4899370,"Injured by an explosive device in Iraq, a Marine corporal fights to be reunited with the bomb-sniffing German shepherd that saved her life in combat.",21739.0,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe7XPPgEEuYrAAsvBYPhxBHBakMW2i_pqTqDWDt9LL0UtZpDM9b5GubzTJpp4kwXOyokftRXAOWF9RbOR1TTaSlzyg.jpg?r=df6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxOTk2NTkxNF5BMl5BanBnXkFtZTgwOTUyOTM3MTI@._V1_SX300.jpg,https://www.youtube.com/watch?v=IGGcFbW__XI,YouTube
Their Finest,"Comedy, Drama, Romance, War","Romantic Films,Romantic Favourites,British Films,Romantic Dramas,Dramas,Comedies,Showbiz Dramas,Romantic Comedies,Dramas based on a book","English, Hungarian, Polish, French",Movie,3.9,"Hong Kong,Canada,Sweden",1-2 hour,Lone Scherfig,"Gaby Chiappe, Lissa Evans","Nicholas Murchie, Richard E. Grant, Gemma Arterton, Sam Claflin",R,6.8,90.0,76.0,1.0,7.0,3603484.0,2017-04-07,2017-11-11,"Wildgaze Films, Number 9 Films",https://www.netflix.com/watch/80142529,https://www.imdb.com/title/tt1661275,"With public morale in wartime Britain at an all-time low, an ex-secretary is hired to write feminine flair into a propaganda film.",18062.0,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcinD620iC5P4pW7HJ-lMhnoD93O34Y269EytUFI_dD3ZFYZgYXnMP-Ipx7YwoeFEARkxZhP7h-IaG9BlGyx0jxbAA.jpg?r=211,https://images-na.ssl-images-amazon.com/images/M/MV5BNGIwMzIzY2EtZWI1Yi00N2E3LWI0OGMtNmU0MjNmMmNhZmU4XkEyXkFqcGdeQXVyNzY1NzQ2MDk@._V1_SX300.jpg,https://www.youtube.com/watch?v=mMh1EvAQOQ8,YouTube
Women on the Verge of a Nervous Breakdown,"Comedy, Drama","Independent Comedies,Spanish Films,Comedies,Buddy Comedies,Classic Comedies,Classic Films,Independent Films,Award-winning Films,Spanish Comedies",Spanish,Movie,4.2,Spain,1-2 hour,Pedro Almodóvar,Pedro Almodóvar,"Julieta Serrano, Carmen Maura, Antonio Banderas, María Barranco",R,7.6,90.0,85.0,22.0,24.0,7251740.0,1988-11-11,2017-11-10,El Deseo S.A.,https://www.netflix.com/watch/70020464,https://www.imdb.com/title/tt0095675,"After being dumped by her lover, Pepa finds her life -- and the lives of those around her -- spiraling out of control in this madcap farce.",36189.0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABU30IcSVrh4G8evRW1PPIh7zaH5b6N0Lbd2QpjYeMP08sT6nD56Xxs7-ZYe8hQGjFRQFlr0XdjRmFfLW19otzSTtmg.jpg?r=478,https://images-na.ssl-images-amazon.com/images/M/MV5BM2JiMWE5MTktMDljYy00NWIwLWE1MDAtOTlhYjk0MzE4NzQ3XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,https://www.youtube.com/watch?v=PypMOEKJuh8,YouTube
La La Land,"Comedy, Drama, Music, Musical, Romance","Romantic Comedies,Romantic Dramas,Comedies,Music & Musicals,Romantic Films,Musicals,Dramas,Showbiz Dramas,US Movies,Romantic Favorites","English, Cantonese",Movie,4.4,"Japan,Hungary,United Kingdom,India,Netherlands,Czech Republic,Greece,Belgium",> 2 hrs,Damien Chazelle,Damien Chazelle,"Amiée Conn, Terry Walters, Ryan Gosling, Emma Stone",PG-13,8.0,91.0,94.0,242.0,281.0,151101803.0,2016-12-25,2017-11-08,"Summit Entertainment, Marc Platt Productions, Gilbert Films",https://www.netflix.com/watch/80095365,https://www.imdb.com/title/tt3783958,"Career aspirations run up against bittersweet romance in modern-day Los Angeles, as two artists face a heartbreaking dilemma.",508025.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAAATU32h7mgvAYFZ_xmJnU1yvZ2iGICKqPCfJ8FtFqTvhJ4QTkoM0SOfM12scbPzeds3eHUZ8hRwqKzhPUERwtWHptug.jpg?r=cd6,https://images-na.ssl-images-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=0pdqf4P9MB8,YouTube
